1904,torppar,2073
1904,työttömy,905
1904,nykyi,2006
1904,histor,1533
1904,jumala,2266
1904,kirkko,4569
1904,jeesus,13
1904,marx,82
1904,sosialis,2049
1904,porwari,299
1904,työttömyy,881
1904,työläi,3521
1904,työvä,15114
1904,kapitalis,537
1904,taantu,622
1904,taistel,9042
1904,toveri,1317
1904,vallankumou,58
1904,torppari,1758
1904,agitaattori,90
1904,köyhälistö,1071
1904,kärsi,1980
1904,orja,4414
1904,sort,2009
1904,sosialidemokraatti,58
1904,lakko,1448
1904,vapau,1755
1904,voitto,1151
1905,sorto,706
1905,ryssä,58
1905,torppar,1438
1905,työttömy,669
1905,nykyi,3061
1905,histor,2001
1905,jumala,2302
1905,kirkko,3588
1905,jeesus,7
1905,marx,101
1905,sosialis,3006
1905,porwari,997
1905,työttömyy,659
1905,työläi,4638
1905,työvä,11934
1905,kapitalis,1691
1905,taantu,742
1905,taistel,7788
1905,toveri,943
1905,vallankumou,485
1905,torppari,1198
1905,agitaattori,322
1905,köyhälistö,2435
1905,kärsi,2484
1905,orja,6026
1905,sort,3069
1905,sosialidemokraatti,427
1905,lakko,3971
1905,vapau,2574
1905,voitto,1002
1906,sorto,1273
1906,ryssä,234
1906,torppar,9381
1906,työttömy,500
1906,nykyi,4787
1906,histor,1735
1906,jumala,2390
1906,kirkko,3044
1906,jeesus,32
1906,marx,302
1906,sosialis,7730
1906,porwari,1944
1906,työttömyy,491
1906,työläi,8380
1906,työvä,13176
1906,kapitalis,2039
1906,taantu,1293
1906,taistel,11259
1906,toveri,1501
1906,vallankumou,1230
1906,torppari,8006
1906,agitaattori,1999
1906,köyhälistö,5638
1906,kärsi,2588
1906,orja,6557
1906,sort,3894
1906,sosialidemokraatti,1546
1906,lakko,8189
1906,vapau,3135
1906,voitto,1388
1907,sorto,1190
1907,ryssä,195
1907,torppar,8115
1907,työttömy,774
1907,nykyi,4828
1907,histor,2053
1907,jumala,2633
1907,kirkko,3579
1907,jeesus,66
1907,marx,425
1907,sosialis,12312
1907,porwari,2944
1907,työttömyy,761
1907,työläi,11493
1907,työvä,9039
1907,kapitalis,2755
1907,taantu,1730
1907,taistel,9669
1907,toveri,1064
1907,vallankumou,833
1907,torppari,6759
1907,agitaattori,1024
1907,köyhälistö,5967
1907,kärsi,2673
1907,orja,6451
1907,sort,3946
1907,sosialidemokraatti,1244
1907,lakko,5903
1907,vapau,2052
1907,voitto,1421
1908,sorto,1030
1908,ryssä,780
1908,torppar,7784
1908,työttömy,1481
1908,nykyi,4922
1908,histor,2309
1908,jumala,2760
1908,kirkko,3671
1908,jeesus,44
1908,marx,650
1908,sosialis,11494
1908,porwari,3907
1908,työttömyy,1462
1908,työläi,13679
1908,työvä,8933
1908,kapitalis,2324
1908,taantu,2800
1908,taistel,8479
1908,toveri,1075
1908,vallankumou,644
1908,torppari,6637
1908,agitaattori,1023
1908,köyhälistö,5030
1908,kärsi,2129
1908,orja,5682
1908,sort,3060
1908,sosialidemokraatti,923
1908,lakko,3030
1908,vapau,1897
1908,voitto,1611
1909,sorto,958
1909,ryssä,759
1909,torppar,5486
1909,työttömy,2594
1909,nykyi,4782
1909,histor,2144
1909,jumala,2216
1909,kirkko,2795
1909,jeesus,38
1909,marx,397
1909,sosialis,7358
1909,porwari,3188
1909,työttömyy,2563
1909,työläi,14126
1909,työvä,8309
1909,kapitalis,2714
1909,taantu,2228
1909,taistel,10248
1909,toveri,821
1909,vallankumou,593
1909,torppari,4629
1909,agitaattori,670
1909,köyhälistö,3605
1909,kärsi,2278
1909,orja,5898
1909,sort,2665
1909,sosialidemokraatti,653
1909,lakko,3272
1909,vapau,1516
1909,voitto,1274
