sorto,ryssä,nais,torppar,työttömy,nykyi,histor,jumala,kirkko,jeesus,marx,sosialis,porwari,työ,työttömyy,työläi,työvä,kapitalis,taantu,taistel,toveri,vallankumou,torppari,agitaattori,köyhälistö,kärsi,orja,sort,sosialidemokraatti,lakko,vapau,voitto
1.64116767401e-05,1.10793629979e-05,0.00194931616039,0.000117152907849,3.87086479069e-06,0.000366211458234,0.000245345680075,0.000474457427202,0.000557246535379,6.39877649074e-06,1.52069688206e-06,6.24670680253e-05,2.81625162833e-05,0.00317847372591,3.87086479069e-06,8.46455433312e-05,9.12813115438e-05,1.10596136877e-06,7.40599130872e-05,0.000251862952427,2.04405360121e-05,5.27306581181e-06,0.000107278252771,4.14735513289e-07,2.58715963051e-06,0.000187361705456,0.000569866344569,0.000337792200918,3.35738272662e-07,2.8498254556e-05,0.000101353459724,0.000112946304786
1.7381546844e-05,9.39596760827e-06,0.00194162803792,0.000124849167903,4.8271038664e-06,0.000335414192528,0.000217676560362,0.000473969951656,0.000549137692522,9.73366623266e-06,1.17201287291e-06,4.213286955e-05,4.27685375488e-05,0.00366168604898,4.80723924144e-06,6.85528207529e-05,0.000125047814152,9.73366623266e-07,7.06386063742e-05,0.000250314139179,1.99043542146e-05,4.70791611662e-06,0.000109950699179,6.15803373903e-07,6.47586773847e-06,0.000177589747184,0.000538331336541,0.000347650801506,2.18510874611e-07,6.35072060119e-05,0.00010391185319,9.60454617039e-05
1.75413231648e-05,7.8776145831e-06,0.0019854032878,9.67686927428e-05,3.15856622902e-06,0.000335936079644,0.000243228400624,0.000488900929878,0.000498057011744,9.11847988736e-06,1.12805936751e-06,2.3294425939e-05,8.1483488313e-05,0.00340884500069,3.13976523957e-06,6.14228325608e-05,0.000116058507927,1.03405442022e-06,7.09925361952e-05,0.000296322394855,2.43284803593e-05,5.659097827e-06,8.33635872589e-05,7.89641557256e-07,2.83894940823e-06,0.000166539164623,0.000512383365712,0.000312998872505,9.21248483465e-07,7.36998786772e-05,0.000103969471705,9.61482600906e-05
1.3736924052e-05,7.9980890339e-06,0.00193688980043,9.77251043606e-05,1.69856323813e-06,0.000338129520724,0.000237600962475,0.000521689786778,0.000594596078776,1.62600325514e-05,1.25330879707e-06,4.07820086203e-05,1.42646330192e-05,0.00375859062787,1.6820723329e-06,6.55513482676e-05,0.000158230235629,3.77641729642e-06,6.79095477147e-05,0.000304471583161,3.14481562632e-05,6.87670747863e-06,8.51590345795e-05,2.80345388817e-07,3.94132634867e-06,0.000188705428484,0.000508810389798,0.000269049118738,1.31927241796e-07,0.000244675560817,0.000130591478473,9.50041049986e-05
1.77003098402e-05,2.38514813449e-05,0.00197653459882,0.000161154416718,3.07558575237e-06,0.000416082815356,0.000250267944717,0.000505494486871,0.000480827033796,1.24121853578e-05,2.13407990981e-06,4.93819814424e-05,2.84020929173e-05,0.00391465575926,3.04420222428e-06,6.05388256767e-05,0.000189179907299,1.09214677737e-05,6.88868441474e-05,0.000315122005505,3.7471932534e-05,7.97141613369e-06,0.000132846474385,1.08273171895e-06,9.1169149088e-06,0.000222634748238,0.000472384864741,0.000257611690289,3.92294101067e-07,0.000129096142779,0.000142779361024,0.000100788200446
2.31143598995e-05,8.8290259279e-06,0.00197002700093,0.000178439260859,7.15016191444e-06,0.000419221338074,0.000274869012631,0.000503299447462,0.000554399870871,1.35358411085e-05,1.40904658272e-06,3.8359044736e-05,5.52526138714e-05,0.00371019953059,7.10519234265e-06,6.63001386742e-05,0.000154410519666,1.41204455417e-05,6.55656356683e-05,0.00047450393166,3.75495924438e-05,5.50127761551e-06,0.000147560154897,2.35340759029e-06,1.39555571118e-05,0.000257810555066,0.000453413202491,0.000298238200104,1.79878287156e-07,0.000101736161244,0.000143842670296,0.00010055196252
1.77591047102e-05,4.37702315737e-06,0.0019895217517,0.000149775770908,1.29898751767e-05,0.000329437667676,0.000269069262265,0.000436415878823,0.000500612218465,1.57039432994e-05,2.60425033736e-06,5.11750879546e-05,1.10759080613e-05,0.00381420700765,1.29741869217e-05,6.99068644776e-05,0.000151940750104,1.17661912833e-05,7.19934023985e-05,0.000350146164335,3.86244839192e-05,6.16548423243e-06,0.000126180635322,2.49443255205e-06,1.03071835641e-05,0.000210693265245,0.000463180041929,0.0002652883928,2.82388590798e-07,7.27150621305e-05,0.000103636612823,8.68972446906e-05
1.84168393555e-05,4.58360012607e-06,0.00200994163082,0.00012138296449,2.42535100196e-05,0.000310069007089,0.000263573495019,0.000403554664337,0.000503932209543,1.22174377461e-05,6.28184046054e-06,9.49200932581e-05,1.54655284829e-05,0.0040678791608,2.40226812362e-05,7.14085328992e-05,0.000175232022086,1.27615341639e-05,7.00565357398e-05,0.000305831650138,4.5720586869e-05,9.59588227831e-06,0.00010479626763,2.39072668446e-06,1.42289457151e-05,0.000230202248058,0.000502728602316,0.000300011467244,1.15414391664e-06,9.36010716391e-05,0.000116650974431,8.98253722547e-05
2.21796514879e-05,4.0790163656e-06,0.00194065202147,0.000131008407977,2.79082700602e-05,0.00031225470134,0.00025810275981,0.000417529314893,0.000538055250667,1.46064777209e-05,2.24945755456e-06,7.2072620048e-05,1.07524071108e-05,0.00428065774079,2.76383351537e-05,7.4996914869e-05,0.000196437630048,1.07374107271e-05,7.47269799624e-05,0.000290989829258,4.6083887101e-05,1.37666802339e-05,0.000108258893909,7.58817015071e-06,1.46814596394e-05,0.000202826089503,0.000481788819035,0.000334869247955,1.81456242734e-06,6.86684409488e-05,0.000119221250392,8.33049114371e-05
1.55998414913e-05,3.15268483905e-06,0.0019832915734,0.000116232946708,1.54808722521e-05,0.000312695774107,0.000228168129649,0.000412615063888,0.00053644717075,1.37558182836e-05,1.66556934893e-06,3.99587932195e-05,2.74670231025e-05,0.00360940774837,1.52875472384e-05,7.82966305547e-05,0.000158273701613,6.78124663494e-06,6.73217182376e-05,0.00100859146771,4.34386434663e-05,6.23101390359e-06,9.99341609359e-05,2.60245210771e-06,1.13169488798e-05,0.000252170173659,0.000478985028212,0.000313320362613,2.06709053126e-06,7.47721668431e-05,0.000114641733133,8.40815098113e-05
