sorto,ryssä,nais,torppar,työttömy,nykyi,histor,jumala,kirkko,jeesus,marx,sosialis,porwari,työ,työttömyy,työläi,työvä,kapitalis,taantu,taistel,toveri,vallankumou,torppari,agitaattori,köyhälistö,kärsi,orja,sort,sosialidemokraatti,lakko,vapau,voitto
2.47683130715e-05,8.25610435716e-06,0.00189064789779,3.71524696072e-05,0.000115585461,0.000643976139858,0.000177506243679,0.000288963652501,0.000301347809036,0.0,1.65122087143e-05,0.000511878470144,0.000198146504572,0.0302916468864,0.000115585461,0.00055315899193,0.000887531218395,2.47683130715e-05,6.19207826787e-05,0.00049536626143,2.88963652501e-05,1.23841565357e-05,3.71524696072e-05,4.12805217858e-06,4.54085739644e-05,0.000355012487358,0.000516006522322,0.000276579495965,4.12805217858e-06,0.00087101900968,8.25610435716e-05,0.000280707548143
3.31449594803e-06,1.98869756882e-05,0.00261182280705,0.000414311993504,0.000222071228518,0.000699358645034,0.000112692862233,0.000311562619115,0.000129265341973,0.0,1.65724797401e-05,0.000593294774697,0.000169039293349,0.0349845047314,0.000222071228518,0.000619810742281,0.000742447092358,6.62899189606e-06,5.63464311165e-05,0.000457400440828,1.65724797401e-05,6.62899189606e-06,0.000357965562387,0.0,4.64029432724e-05,0.000328135098855,0.00063969771797,0.000165724797401,0.0,0.0023466631312,3.31449594803e-05,0.000102749374389
4.73084851147e-05,1.35167100328e-05,0.00295340114216,0.00011151285777,8.44794377049e-05,0.000446051431082,0.000250059135606,0.000337917750819,0.000219646538033,0.0,0.0,0.000216267360524,4.39293076065e-05,0.0304294934613,8.44794377049e-05,0.000331159395803,0.00135167100328,0.000101375325246,3.37917750819e-05,0.000608251951475,2.02750650492e-05,0.0,9.12377927213e-05,0.0,3.04125975738e-05,0.000273713378164,0.00097320312236,0.000141925455344,0.0,0.00192951035718,5.06876626229e-05,0.000101375325246
6.93157331646e-05,7.53431882224e-06,0.00277262932658,8.89049621024e-05,3.76715941112e-05,0.000598224914485,0.000165755014089,0.000405346352636,0.000351099257116,6.02745505779e-06,1.50686376445e-05,0.000414387535223,2.712354776e-05,0.0203381402287,3.76715941112e-05,0.000220002109609,0.00184892183898,0.000134110875036,7.68500519868e-05,0.000550005274023,5.12333679912e-05,1.356177388e-05,6.78088694001e-05,1.05480463511e-05,4.3699049169e-05,0.000311920799241,0.00065397887377,0.000226029564667,3.01372752889e-06,0.00111959977698,0.000128083419978,0.000200412880671
8.64042856526e-05,1.91464042071e-05,0.0026662595192,0.000295541931607,5.40026785329e-05,0.000569973725242,0.0001870456411,0.000411893157173,0.000282286728694,7.85493505932e-06,1.22733360302e-05,0.000417784358468,6.43122807982e-05,0.0192396815609,5.40026785329e-05,0.00026019472384,0.00105059756418,0.000361327012729,8.59133522114e-05,0.000647541208953,5.05661444444e-05,9.81866882416e-06,0.000245957654045,1.4237069795e-05,0.00021551978069,0.000352490210787,0.000610721200862,0.000425639293527,8.83680194174e-06,0.000854224187702,0.000244484853721,0.000131079228802
0.000103233401936,5.27149286481e-06,0.00246969440717,0.000250835202151,0.000123001500179,0.000561413990103,0.000190652325277,0.00037383670233,0.000282024868268,5.71078393688e-06,1.97680982431e-05,0.000502988277518,0.000101036946576,0.0174859811237,0.000123001500179,0.000283782032556,0.00120146108211,0.000546478093652,9.66440358549e-05,0.000771834413623,4.83220179275e-05,1.49358964503e-05,0.000207345386016,4.34898161347e-05,0.000379108195195,0.000411615734528,0.000617643247327,0.000531542197202,3.07503750448e-06,0.000583378543706,0.000224038446755,0.000161219823449
4.79744526884e-05,5.49325794142e-06,0.00236722795556,0.000351202291055,0.000171023430576,0.000441291721294,0.000188601855989,0.000349004987878,0.000524789242004,1.1718950275e-05,9.52164709846e-06,0.000558115006848,6.11582717478e-05,0.0166786297617,0.00017065721338,0.000381964535527,0.00135134145359,0.000320073829387,0.000103273249299,0.000589609685712,4.83406698845e-05,8.05677831408e-06,0.000294072408464,3.1128461668e-05,0.000359625286565,0.000325200870132,0.000677868029971,0.000358526634977,7.32434392189e-07,0.000457039060726,0.000142458489281,0.000110597593221
5.28499633099e-05,4.35576620686e-06,0.00231697723764,0.000225047920688,0.000125446066758,0.000410022792273,0.000144611438068,0.000323197852549,0.000519207331858,2.61345972412e-06,1.33576830344e-05,0.000420767015583,5.45922697927e-05,0.0135327848359,0.000123703760275,0.000449515072548,0.00111565691778,0.000214303697378,8.36307111718e-05,0.000466066984134,7.98557137925e-05,6.09807268961e-06,0.000187297946895,2.32307531033e-05,0.000278769037239,0.000290674798205,0.000674272608822,0.00035543052248,1.16153765516e-06,0.000359205519859,0.000128059526482,8.885763062e-05
6.31093813584e-05,5.35834370024e-06,0.00241571995152,0.000290838988619,0.000159261882202,0.000313165420703,0.000182481371569,0.000275954700562,0.00045278004267,2.381486089e-06,6.84677250586e-06,0.000584654834848,9.58548150821e-05,0.0158773677553,0.000156880396113,0.000470045816815,0.00168787826558,0.000289052874052,0.000107166874005,0.000599241437144,0.000171764684169,1.57773453396e-05,0.000239637037705,4.82250933022e-05,0.000315844592553,0.000259879669462,0.000713850455176,0.000364962743139,5.35834370024e-06,0.000286671387963,0.000178016085152,0.00014288916534
2.99287988531e-05,2.67221418331e-06,0.00218747453046,0.000207363820625,9.05880608143e-05,0.000200683285167,0.000153385094122,0.000226603762745,0.000456948625346,1.33610709166e-06,8.28386396826e-06,0.00020495882786,2.99287988531e-05,0.0105710120878,8.81830680493e-05,0.00035219782936,0.00151140434208,5.37115050846e-05,6.22625904712e-05,0.000904277279633,0.000131740159237,5.87887120328e-06,0.000175831693262,9.08552822326e-06,0.000107155788751,0.000198011070983,0.000441449783083,0.000200950506585,5.87887120328e-06,0.000144834008735,0.000175564471844,0.000115172431301
7.0602672663e-05,5.82290083818e-06,0.0021294833607,0.000143874174877,6.69633596391e-05,0.000306187535741,0.000200162216313,0.000230247203976,0.000358836264153,7.27862604773e-07,1.01900764668e-05,0.000300607255771,9.97171768539e-05,0.0121065387052,6.59928761661e-05,0.000463891100109,0.00119345205096,0.000169106745176,7.42419856868e-05,0.000778812987107,9.43795177522e-05,4.85241736515e-05,0.000119854708919,3.22685754783e-05,0.000243591351731,0.000248443769096,0.000602670236752,0.000306915398346,4.27012728133e-05,0.000397170361338,0.000257420741221,0.00010020241859
0.000127359683061,2.34554082971e-05,0.00238544686374,0.000938110198815,5.00948086707e-05,0.000478766275241,0.000173527568171,0.000239011671878,0.000304495775585,3.29012514575e-06,3.0247924727e-05,0.000773073276181,0.000194435782807,0.0124652228465,4.91396110478e-05,0.000838026714543,0.00131764205434,0.000203987759036,0.000129376211376,0.00112596573133,0.000150178292943,0.000123008227223,0.000800667874178,0.000199954702406,0.000563884996753,0.000258858555822,0.000655796234696,0.00038940223096,0.00015463588185,0.000818922762083,0.000313517086469,0.000138822054537
0.000119036971316,1.9585607712e-05,0.00225437598694,0.000811569552156,7.74719593942e-05,0.000482821499745,0.000205358723825,0.000263390154083,0.000357908846115,6.67361447965e-06,4.25080226639e-05,0.0012312818715,0.000294436969271,0.0119027541209,7.61662522134e-05,0.00114938501554,0.000903984604842,0.000275504215149,0.000173006201456,0.000966948706672,0.000106487674523,8.33476417079e-05,0.000675993623216,0.000102498013693,0.000596708181626,0.000267379814913,0.000645164425892,0.000394686265041,0.000124404878615,0.000590324724298,0.000205286184537,0.000142177004132
0.0001030756121,7.801494531e-05,0.00206579797921,0.000778406102367,0.000148184812321,0.000492278663283,0.000230921332533,0.000276030532754,0.000367120608563,4.43101644684e-06,6.50850940389e-05,0.00114944925008,0.000390728483075,0.0116797961558,0.00014629618236,0.00136794920864,0.000893394611143,0.000232446764425,0.000280098351132,0.000847922212853,0.00010757926816,6.44313375139e-05,0.00066378079166,0.000102349215961,0.000503029326138,0.00021290670829,0.000568259699404,0.000306030693288,9.23975888588e-05,0.000303052469119,0.000189734671462,0.000161187303206
9.58823436862e-05,7.59156746184e-05,0.00209769966334,0.00054869535456,0.000259496144281,0.000478282860816,0.000214482946877,0.000221608860573,0.00027953336695,3.80989445111e-06,3.97216773328e-05,0.000735874057871,0.000318831722677,0.0121180042842,0.000256391785839,0.00141269475175,0.000830909758346,0.000271419702841,0.000222808271789,0.00102486160735,8.21949451026e-05,5.9335578396e-05,0.00046290217581,6.70964745001e-05,0.000360528900836,0.000227817577456,0.000589828103912,0.000266551504376,6.53326344764e-05,0.000327298154791,0.000151619688434,0.000127419803309
