Word,RelativeFreq,SocialistFreq,CorpusFreq
nut,119.201365,0.008242,0.069140
höyrylaiva,119.967081,0.007320,0.061018
julkisella,129.015500,0.009163,0.071023
kaupp,174.281350,0.014794,0.084886
den,179.219117,0.023803,0.132818
huo,182.956648,0.008395,0.045886
tar,184.859712,0.010136,0.054829
kristuksen,194.656440,0.008088,0.041550
tään,194.678608,0.011415,0.058637
ensimmäisen,199.128837,0.008446,0.042417
mal,200.363087,0.007525,0.037557
lello,208.917321,0.028820,0.137950
pitäjään,209.971985,0.007576,0.036082
awoinna,212.984916,0.016176,0.075950
nan,217.166191,0.010596,0.048794
kirjakaupassa,220.297231,0.008190,0.037179
sev,224.357846,0.008293,0.036962
taan,224.772925,0.040850,0.181738
lukusali,227.936589,0.009624,0.042221
att,230.091811,0.009317,0.040491
kurssi,230.134091,0.007627,0.033143
kurssit,233.630147,0.008446,0.036153
kin,234.662816,0.007986,0.034030
mar,235.880731,0.008139,0.034506
lappeenrannassa,238.412896,0.008293,0.034783
kumpp,240.786517,0.008139,0.033803
pesän,241.537669,0.009419,0.038996
per,242.913267,0.008446,0.034771
pal,243.864466,0.009573,0.039254
vat,244.740111,0.008088,0.033048
carl,246.220981,0.008600,0.034928
tää,247.121354,0.014231,0.057587
wiipurissa,247.291096,0.013514,0.054649
kuolleita,247.986584,0.007883,0.031789
paitse,247.995248,0.010392,0.041902
ten,249.318084,0.032147,0.128942
suo,249.978276,0.021398,0.085597
hen,250.697499,0.008754,0.034917
mää,252.463899,0.011006,0.043594
lan,255.388639,0.020834,0.081579
mat,255.628228,0.021142,0.082704
kirkkoherran,257.029555,0.009624,0.037442
kirjapainossa,259.157764,0.012439,0.047999
lon,261.687538,0.008498,0.032472
näyttely,262.416348,0.007320,0.027895
huutokauppa,262.769670,0.008549,0.032533
piispa,263.574525,0.011159,0.042339
kirkkoherra,265.838134,0.016995,0.063930
ensimmäinen,274.222477,0.019503,0.071123
pietari,274.829130,0.022268,0.081024
varatuomari,276.788593,0.013309,0.048085
seurahuoneella,277.520676,0.009163,0.033018
sam,285.522709,0.012644,0.044284
man,289.076116,0.030612,0.105895
pankki,289.987789,0.012695,0.043778
tuore,290.951647,0.012644,0.043457
lin,293.257295,0.021193,0.072267
irtainta,299.143085,0.011006,0.036791
lut,301.864802,0.009573,0.031711
nän,308.854211,0.010699,0.034640
pitäjää,313.735388,0.010545,0.033612
auran,317.564376,0.009061,0.028532
konsuli,318.091802,0.008754,0.027519
mikkelin,318.094045,0.023445,0.073705
kaarle,319.315613,0.012900,0.040399
litraa,320.305202,0.014231,0.044429
aura,323.095898,0.013258,0.041035
hau,324.425511,0.012849,0.039605
tim,327.333599,0.016125,0.049261
tello,329.271574,0.007986,0.024253
lirj,330.748839,0.009214,0.027859
jumalan,331.094261,0.060404,0.182439
nykyjään,333.029710,0.009061,0.027207
amoinna,337.699763,0.011979,0.035471
arthur,338.309529,0.008702,0.025723
kielen,339.519720,0.009214,0.027139
asetuksessa,339.533615,0.008190,0.024123
tukholmaan,340.515678,0.008139,0.023903
litra,341.106035,0.008242,0.024161
lehtori,341.164277,0.017712,0.051916
tarkempia,346.622271,0.009777,0.028207
rahaksi,347.232168,0.007883,0.022703
taloll,347.440515,0.017046,0.049063
pitäjä,348.834329,0.013719,0.039328
vainaja,349.582848,0.007730,0.022111
virastoissa,352.121107,0.007474,0.021225
euroopan,352.594303,0.009009,0.025552
kauppiaat,353.313225,0.013258,0.037526
georg,353.357672,0.007576,0.021440
wilhelm,353.527501,0.020937,0.059223
säätyjen,354.110683,0.015818,0.044669
säädyt,357.777735,0.013668,0.038202
tampere,358.419581,0.017149,0.047845
allekirjoittaneen,358.481752,0.013361,0.037270
tuulen,359.888674,0.011364,0.031577
kiloa,360.507661,0.017661,0.048988
marrella,360.724269,0.009573,0.026537
hakeneet,363.441149,0.009112,0.025071
käkisalmen,364.742516,0.007934,0.021754
lyseon,365.295431,0.011313,0.030970
hämeenlinnassa,365.454294,0.011364,0.031096
talollisen,366.145776,0.016688,0.045578
toimeenpanee,366.566546,0.011569,0.031560
rauman,367.213730,0.019196,0.052276
ernst,367.634827,0.008907,0.024228
kaikenlaatuisia,367.936310,0.007371,0.020034
pit,367.992646,0.015459,0.042010
sil,368.864242,0.008088,0.021927
rehtori,370.890096,0.010494,0.028294
hämeenlinnan,372.197423,0.015357,0.041261
hintaan,372.679147,0.012030,0.032279
wiipuri,373.252169,0.011569,0.030995
kauppias,373.917371,0.081853,0.218907
jon,374.983226,0.009829,0.026211
juhana,376.031944,0.009009,0.023959
kapteeni,377.245098,0.032762,0.086845
tilalla,377.264890,0.024520,0.064994
wan,377.679322,0.010443,0.027650
sato,378.978305,0.007832,0.020666
joensuun,379.967322,0.012951,0.034085
lainen,380.011783,0.009880,0.025998
koulussa,380.475399,0.014743,0.038748
kunnioituksella,380.575058,0.012030,0.031609
suu,381.724382,0.019145,0.050154
seminaarin,382.757750,0.007679,0.020061
renki,382.944685,0.013463,0.035157
raamatun,383.593372,0.012337,0.032161
wiip,383.846522,0.013054,0.034007
laiva,386.161368,0.007423,0.019221
piirilääkäri,386.898385,0.008190,0.021169
välittää,387.459756,0.013617,0.035143
turku,389.678738,0.018019,0.046241
