Word,RelativeFreq,SocialistFreq,CorpusFreq
julkisella,0.170057,0.008582,0.050464
tään,0.177644,0.011874,0.066840
höyrylaiva,0.201756,0.008024,0.039769
varatuomari,0.202229,0.013581,0.067157
taan,0.212948,0.040643,0.190859
pankki,0.261137,0.010468,0.040085
huutokauppa,0.271418,0.008649,0.031865
kaupp,0.300740,0.016047,0.053360
turku,0.306704,0.019552,0.063747
pesän,0.318775,0.008615,0.027026
carl,0.318797,0.008191,0.025694
tampere,0.329684,0.018748,0.056867
toimeenpanee,0.335567,0.012454,0.037113
lainen,0.338022,0.009575,0.028326
heinolan,0.342754,0.011137,0.032493
kurssit,0.343585,0.007934,0.023093
opett,0.348813,0.008481,0.024315
roat,0.361753,0.007834,0.021656
kirkkoherran,0.367705,0.009564,0.026009
osakeyhtiö,0.370087,0.040810,0.110273
mikkelin,0.377210,0.023044,0.061092
maanwilj,0.378249,0.007510,0.019856
käkisalmen,0.378620,0.007667,0.020249
kirjapainossa,0.380017,0.012655,0.033301
kemissä,0.389173,0.008637,0.022194
välittää,0.390688,0.014184,0.036305
päivältä,0.398381,0.008102,0.020337
lukusali,0.400209,0.010367,0.025905
junat,0.404752,0.015099,0.037304
seminaarin,0.407055,0.007957,0.019547
päät,0.410981,0.007522,0.018301
tuomiokunnan,0.413009,0.007689,0.018617
sato,0.416881,0.007365,0.017668
ernst,0.417794,0.009787,0.023425
snellmanin,0.419549,0.008292,0.019763
aksel,0.419887,0.010300,0.024531
kirkkoherra,0.420935,0.017007,0.040403
eläinlääkäri,0.423203,0.007801,0.018432
säästöpankin,0.424764,0.008091,0.019047
oulu,0.425131,0.015646,0.036802
venäjältä,0.427294,0.009296,0.021755
estettä,0.434760,0.007879,0.018122
seuran,0.437868,0.067906,0.155083
kielen,0.441146,0.009162,0.020769
hämeenlinnassa,0.441532,0.010412,0.023581
lehtori,0.443182,0.016081,0.036285
awoinna,0.445425,0.016003,0.035927
osakepääoma,0.448091,0.008325,0.018579
virastoissa,0.450266,0.007912,0.017572
irtainta,0.451417,0.010613,0.023510
axel,0.451691,0.016717,0.037010
yliopp,0.457275,0.008303,0.018157
werner,0.458252,0.013916,0.030367
loin,0.458645,0.010434,0.022750
pietari,0.461968,0.025098,0.054328
jumalan,0.465138,0.056534,0.121543
kumpp,0.465714,0.007298,0.015671
lappeenrannassa,0.466137,0.007577,0.016256
seurahuoneella,0.470610,0.009385,0.019943
john,0.470879,0.023792,0.050527
sanomain,0.471797,0.014351,0.030418
rakas,0.473106,0.011383,0.024060
kaikenlaatuisia,0.475946,0.007577,0.015921
taloll,0.475948,0.016896,0.035499
tilalla,0.477083,0.025154,0.052724
antavat,0.477464,0.008113,0.016992
lontoosta,0.482018,0.013258,0.027504
kiinan,0.482732,0.013581,0.028134
arthur,0.486994,0.008135,0.016705
talollisen,0.487539,0.017264,0.035410
keisarillinen,0.491770,0.015043,0.030590
ulkomailta,0.492049,0.011160,0.022680
hakeneet,0.493173,0.008158,0.016541
lyseon,0.493296,0.010735,0.021763
heiniä,0.494676,0.010646,0.021522
port,0.495092,0.023201,0.046861
kauppoja,0.498499,0.007856,0.015760
korko,0.499516,0.016918,0.033869
vaasa,0.499887,0.011171,0.022346
rehtori,0.501864,0.009731,0.019390
vuokrattavana,0.502187,0.009854,0.019622
kajaanista,0.502245,0.007600,0.015131
opettajatar,0.502672,0.012276,0.024421
piirilääkäri,0.502749,0.008303,0.016515
lähempiä,0.504929,0.038411,0.076072
georg,0.505519,0.007990,0.015806
tulevan,0.506222,0.024819,0.049028
koulussa,0.506289,0.014083,0.027817
snellman,0.508180,0.019630,0.038627
huokealla,0.509326,0.009463,0.018580
kihlakunnan,0.510536,0.016929,0.033159
huutokaupalla,0.512324,0.036012,0.070291
omistama,0.512569,0.011327,0.022098
alalta,0.514690,0.013626,0.026474
suomennos,0.514829,0.007778,0.015108
raahen,0.515680,0.010981,0.021294
kaarle,0.517895,0.012610,0.024349
eläinten,0.519026,0.009787,0.018856
matkoilla,0.520199,0.011037,0.021216
korkoa,0.520682,0.019641,0.037721
maanantai,0.523430,0.019351,0.036969
tornion,0.523642,0.013246,0.025297
julistetaan,0.526110,0.021471,0.040811
tukholmaan,0.528855,0.007678,0.014518
lehmiä,0.530856,0.007722,0.014547
konsuli,0.531175,0.008872,0.016702
nasta,0.531317,0.009073,0.017076
lämpö,0.533481,0.009050,0.016965
asessori,0.533619,0.012354,0.023151
mista,0.536112,0.017074,0.031848
vainaja,0.537266,0.007655,0.014249
perjantai,0.538060,0.019072,0.035445
rahaksi,0.538322,0.008135,0.015112
koulun,0.542795,0.047986,0.088406
lehmää,0.543010,0.011550,0.021271
keittiö,0.544845,0.021795,0.040001
suomalaisessa,0.545044,0.007365,0.013513
arkkitehti,0.545251,0.009798,0.017970
rauman,0.545385,0.019418,0.035604
prinssi,0.545503,0.007879,0.014443
pitäjää,0.545575,0.009809,0.017980
maila,0.546044,0.009073,0.016615
seurakunnan,0.547109,0.026102,0.047709
johannes,0.547800,0.015768,0.028785
opetuksen,0.547811,0.009709,0.017723
varat,0.547832,0.012856,0.023467
amiraali,0.549851,0.008850,0.016094
teen,0.550104,0.030466,0.055381
pohjoiseen,0.550190,0.015780,0.028680
lahti,0.550326,0.021058,0.038265
söderström,0.552486,0.011026,0.019956
peltoa,0.552807,0.008448,0.015282
pankin,0.552972,0.031994,0.057859
laupp,0.553176,0.007388,0.013355
kauppias,0.554148,0.080762,0.145740
helsinki,0.554330,0.102958,0.185734
hämeenlinnan,0.555478,0.015635,0.028146
lauloi,0.556074,0.008615,0.015493
iltapäivällä,0.557033,0.008425,0.015126
