Word,RelativeFreq,SocialistFreq,CorpusFreq
kuuli,1.112113,0.012544,0.011279
istui,1.112273,0.026265,0.023614
kuolema,1.112344,0.028635,0.025743
päällikön,1.112357,0.014170,0.012739
tuottaa,1.112779,0.039696,0.035673
kysymyksistä,1.112853,0.013903,0.012493
ouluun,1.112965,0.026997,0.024257
laitokset,1.113041,0.009186,0.008253
yläpuolella,1.113076,0.011753,0.010559
äiti,1.113116,0.059390,0.053354
talot,1.113124,0.015506,0.013930
saapuneet,1.113287,0.037396,0.033590
myöhään,1.113398,0.019677,0.017673
äänet,1.113657,0.017063,0.015322
näköinen,1.113692,0.009128,0.008196
mikäli,1.113781,0.070497,0.063295
pariisin,1.113817,0.012636,0.011345
lausuttu,1.113904,0.012009,0.010781
palmen,1.114197,0.008163,0.007327
tukuttain,1.114248,0.015448,0.013864
koneen,1.114619,0.010615,0.009523
uudestaan,1.114799,0.058391,0.052378
lauantaina,1.114950,0.184266,0.165269
myydään,1.114971,0.273253,0.245076
ruumiin,1.114984,0.031122,0.027912
kuin,1.115303,1.047563,0.939263
pelto,1.115366,0.008930,0.008006
laiman,1.115597,0.009418,0.008442
toistensa,1.115638,0.015448,0.013847
etla,1.115804,0.026370,0.023633
sanottuun,1.115830,0.014809,0.013272
kansaan,1.116083,0.008233,0.007377
metsästä,1.116200,0.015181,0.013601
ympäristön,1.116251,0.011068,0.009915
heissä,1.116326,0.007768,0.006959
vehkalahden,1.116367,0.007396,0.006625
äskettäin,1.116391,0.069033,0.061836
omistajia,1.116423,0.007629,0.006833
kotimaisia,1.116905,0.020235,0.018117
nähtiin,1.117339,0.015378,0.013763
lotat,1.117348,0.014507,0.012983
omituinen,1.117394,0.013206,0.011818
talli,1.117476,0.015553,0.013918
istuntoon,1.117797,0.015134,0.013540
faiffi,1.117834,0.045134,0.040376
taloon,1.118045,0.053580,0.047923
kuolla,1.118086,0.008221,0.007353
muutamiin,1.118089,0.007559,0.006761
vallitsee,1.118167,0.009581,0.008568
jätä,1.118181,0.009395,0.008402
uudesta,1.118235,0.025254,0.022584
kirjeessä,1.118246,0.013589,0.012152
puheen,1.118457,0.059308,0.053027
hulda,1.118502,0.009697,0.008670
summissa,1.118559,0.015925,0.014237
pieneen,1.118663,0.008384,0.007495
puolet,1.118966,0.043588,0.038954
minua,1.119056,0.094245,0.084219
omantunnon,1.119170,0.008686,0.007761
kilometrin,1.119232,0.016227,0.014498
tänne,1.119329,0.125407,0.112037
syntyä,1.119515,0.012358,0.011038
edellisessä,1.119598,0.017168,0.015334
nuorisoa,1.119966,0.012207,0.010899
muolsi,1.120181,0.010069,0.008989
ihminen,1.120210,0.057403,0.051243
enin,1.120548,0.025254,0.022537
sunnuntain,1.120715,0.015413,0.013753
täkäläisen,1.120908,0.015622,0.013937
pitkänen,1.120920,0.014251,0.012714
pietarista,1.120954,0.111778,0.099717
loka,1.120979,0.014612,0.013035
fanfan,1.121068,0.040393,0.036031
tuman,1.121328,0.012183,0.010865
ilmoittautunut,1.121334,0.007954,0.007093
kuullut,1.121555,0.021745,0.019389
toiseen,1.121632,0.057740,0.051478
ääni,1.121752,0.041822,0.037283
mielellä,1.121829,0.008744,0.007795
lautta,1.121875,0.156765,0.139735
riihimäen,1.121905,0.007617,0.006790
täytetty,1.122014,0.018876,0.016823
totuus,1.122056,0.017795,0.015859
metsästys,1.122096,0.007617,0.006788
pukukankaita,1.122158,0.019096,0.017018
ajatuksia,1.122429,0.008593,0.007656
kertomuksia,1.122458,0.016622,0.014808
kahdesta,1.122868,0.008500,0.007570
sanaakaan,1.123207,0.008128,0.007237
lapsi,1.123228,0.059204,0.052709
senaattorit,1.123387,0.017226,0.015334
todistettu,1.123392,0.008802,0.007835
anomuksesta,1.123563,0.008779,0.007814
kylään,1.123716,0.022419,0.019951
hyvin,1.123799,0.177934,0.158333
wilho,1.123911,0.023535,0.020940
kotimaista,1.124050,0.011730,0.010436
onkaan,1.124277,0.008628,0.007674
useissa,1.124421,0.026695,0.023741
lakkeja,1.124471,0.009709,0.008634
muotoon,1.124548,0.009476,0.008427
huoneissa,1.124850,0.009697,0.008621
muutoksen,1.125140,0.009534,0.008474
kirjallinen,1.125155,0.008361,0.007431
oikeudesta,1.125187,0.009418,0.008370
kaksi,1.125267,0.208654,0.185426
ulkomaalaisia,1.125612,0.008152,0.007242
nykyajan,1.125809,0.028984,0.025745
mukaisesti,1.125872,0.044692,0.039696
huomiota,1.125908,0.081535,0.072417
senjalleen,1.125957,0.007861,0.006982
uutta,1.126082,0.146738,0.130309
tiede,1.126204,0.007466,0.006630
viimeistään,1.126282,0.066338,0.058900
käyttää,1.126303,0.106433,0.094498
kappaleita,1.126397,0.009186,0.008155
ehkäisemiseksi,1.126504,0.009279,0.008237
hieno,1.126629,0.014809,0.013145
suomeen,1.126683,0.031191,0.027684
selitys,1.127198,0.017714,0.015715
harjoittamaan,1.127280,0.007466,0.006623
vuokrata,1.127608,0.019689,0.017461
ranskan,1.127684,0.042427,0.037623
palata,1.127734,0.016354,0.014502
päimänä,1.127978,0.079246,0.070255
yhdeksän,1.128033,0.008477,0.007515
helin,1.128351,0.017412,0.015431
päiwinä,1.128465,0.027020,0.023944
luonnollinen,1.128584,0.009441,0.008366
maalari,1.128781,0.021978,0.019470
johanna,1.129399,0.015529,0.013750
kohdalla,1.129575,0.015378,0.013614
käsin,1.129811,0.014182,0.012552
junassa,1.130243,0.012764,0.011293
etkö,1.130529,0.007699,0.006810
valmistettu,1.130728,0.009709,0.008586
erittäinkin,1.131040,0.043786,0.038713
uita,1.131197,0.008291,0.007330
muiden,1.131264,0.083766,0.074046
erityinen,1.131457,0.039406,0.034827
asetetun,1.131483,0.009209,0.008139
manha,1.131488,0.014949,0.013211
ensi,1.131584,0.622346,0.549977
myynti,1.132050,0.025882,0.022863
pääkaupungin,1.132121,0.011173,0.009869
asunto,1.132166,0.046551,0.041117
läheisessä,1.132184,0.009360,0.008267
laulaa,1.132347,0.015053,0.013294
numeron,1.132607,0.010696,0.009444
loisen,1.132615,0.008942,0.007895
tarkemmin,1.132650,0.034328,0.030308
kuvia,1.132705,0.022803,0.020131
seuraamana,1.132928,0.040254,0.035531
tarkoitukseen,1.132959,0.020049,0.017696
kaupaksi,1.132985,0.012985,0.011461
yleisöä,1.133048,0.054057,0.047709
puntaa,1.133172,0.010870,0.009593
jälkeen,1.133243,0.312977,0.276178
tunnissa,1.133491,0.014193,0.012522
enne,1.133614,0.009650,0.008513
mallin,1.133649,0.008675,0.007652
nauttii,1.133730,0.010917,0.009629
alueelle,1.133747,0.009372,0.008266
hylätty,1.133847,0.012160,0.010725
eteen,1.134075,0.050269,0.044326
rantaan,1.134172,0.013450,0.011859
parhaimmat,1.134403,0.011649,0.010269
muutos,1.134492,0.024743,0.021810
laatu,1.134608,0.012904,0.011373
nimitetään,1.134800,0.008105,0.007142
noilla,1.134853,0.011591,0.010213
sotamiestä,1.135009,0.009802,0.008636
totiin,1.135043,0.014368,0.012658
tehtaista,1.135092,0.010754,0.009474
lisi,1.135809,0.009267,0.008159
tarkoituksiin,1.135833,0.009000,0.007924
tärkeätä,1.135906,0.019910,0.017528
marsin,1.135907,0.027346,0.024074
monen,1.135943,0.048933,0.043077
silmänsä,1.135984,0.017656,0.015542
ajateltu,1.136021,0.009534,0.008393
karin,1.136022,0.008686,0.007646
tunne,1.136172,0.042020,0.036984
punainen,1.136229,0.009894,0.008708
koska,1.136319,0.202357,0.178081
jyväskylästä,1.136452,0.015518,0.013655
bulgarian,1.136669,0.008372,0.007366
mieleen,1.136690,0.022106,0.019447
lempi,1.136767,0.009128,0.008029
lähtien,1.136773,0.036989,0.032539
loppuun,1.136786,0.099044,0.087126
järjestetty,1.137387,0.020839,0.018322
uuden,1.137647,0.189669,0.166720
koolla,1.137738,0.010115,0.008891
osittain,1.138242,0.028136,0.024719
rouroa,1.138306,0.011858,0.010417
kosti,1.138555,0.009430,0.008282
pienen,1.138709,0.056380,0.049513
emma,1.138737,0.010894,0.009566
uusilla,1.138954,0.008303,0.007290
kanta,1.139088,0.017632,0.015479
tunnustusta,1.139251,0.009767,0.008573
kokonaisuudessaan,1.139254,0.023047,0.020230
sisältämä,1.139260,0.008163,0.007165
ellen,1.139578,0.021234,0.018633
maalissa,1.139580,0.009070,0.007959
tunsin,1.139608,0.008372,0.007347
tärkeimpiä,1.139670,0.010429,0.009151
rautatien,1.139751,0.091074,0.079907
tärkein,1.139804,0.013578,0.011912
ohjelmasta,1.139878,0.022443,0.019689
laitoksia,1.139949,0.009802,0.008598
harmoin,1.140077,0.012834,0.011257
toimista,1.140170,0.009337,0.008189
kertomuksen,1.140244,0.019294,0.016921
nyttemmin,1.140260,0.059099,0.051830
ruotsalaisen,1.140432,0.032586,0.028573
noussut,1.140458,0.023082,0.020239
julius,1.140563,0.017679,0.015500
armon,1.140599,0.024824,0.021764
nimen,1.140610,0.029809,0.026134
oulusta,1.140644,0.034596,0.030330
määrätyn,1.140659,0.016680,0.014623
kunnallisten,1.140728,0.008314,0.007289
jossakin,1.140802,0.022152,0.019418
tuotti,1.141101,0.010394,0.009109
kansliassa,1.141169,0.014774,0.012947
mielestämme,1.141227,0.017876,0.015664
lukuisa,1.141255,0.007396,0.006481
suurimmassa,1.141436,0.008686,0.007610
täydellä,1.141444,0.017760,0.015559
numerot,1.141595,0.025951,0.022733
väittää,1.141665,0.008988,0.007873
juhlallisesti,1.141842,0.007943,0.006956
malmis,1.141864,0.008221,0.007200
määriä,1.141911,0.010243,0.008970
kait,1.141939,0.008907,0.007800
päiwä,1.142005,0.066419,0.058160
minfä,1.142053,0.007757,0.006792
senaatin,1.142755,0.214870,0.188028
mahdolliseksi,1.142833,0.017388,0.015215
otin,1.142891,0.008384,0.007336
malinen,1.142992,0.008686,0.007599
päiminä,1.143001,0.023244,0.020336
pienempää,1.143026,0.008605,0.007528
ympärille,1.143218,0.014798,0.012944
sallittu,1.143269,0.010696,0.009356
päimästä,1.143591,0.011207,0.009800
nouse,1.143663,0.010743,0.009393
tuonut,1.143812,0.013856,0.012114
kolmen,1.143974,0.040579,0.035472
seitsemän,1.144021,0.021536,0.018825
vastaisuudessa,1.144024,0.010022,0.008761
erinomainen,1.144230,0.013705,0.011978
toimikunta,1.144238,0.059680,0.052157
halonen,1.144249,0.018492,0.016161
wuosina,1.144528,0.013915,0.012157
tumaa,1.145062,0.007757,0.006774
miehistön,1.145098,0.007745,0.006764
