meillä	0.089869	0.244796	0.154927
eiole	0.089603	0.089664	0.000061
luin	0.089205	0.688987	0.599782
yhdistyksen	0.088979	0.212500	0.123521
oliroat	0.088900	0.102252	0.013352
roiime	0.088610	0.103387	0.014777
illalla	0.088251	0.288802	0.200551
valmistetaan	0.088181	0.112570	0.024389
ottaa	0.088013	0.384553	0.296540
pstä	0.087851	0.091057	0.003205
asiasta	0.087623	0.204968	0.117344
duuman	0.087406	0.087600	0.000194
nom	0.086513	0.120566	0.034054
asian	0.086200	0.252483	0.166283
mutaan	0.086080	0.236283	0.150203
taholta	0.085919	0.109216	0.023297
mies	0.085670	0.386617	0.300947
wastaan	0.085480	0.234220	0.148739
kallio	0.084971	0.099002	0.014030
kaikkia	0.084563	0.230815	0.146252
joita	0.084314	0.473650	0.389336
eilen	0.084019	0.288235	0.204216
tuntia	0.083458	0.151056	0.067598
hienosta	0.083221	0.086878	0.003657
huone	0.083039	0.136869	0.053829
oliwat	0.082791	0.257538	0.174748
turkin	0.082710	0.106121	0.023411
kyllä	0.082347	0.381406	0.299059
doll	0.082072	0.094462	0.012390
huomioon	0.081677	0.157866	0.076189
sitte	0.080915	0.301751	0.220836
miesten	0.080483	0.176954	0.096472
tilata	0.080167	0.121547	0.041379
yhtyy	0.079492	0.086052	0.006560
saapuu	0.079376	0.137282	0.057905
lakon	0.079361	0.084092	0.004731
noin	0.079067	0.489436	0.410370
tuin	0.079008	0.375835	0.296827
sihteeri	0.078991	0.103490	0.024499
osasto	0.078834	0.128305	0.049471
roastaan	0.078813	0.086878	0.008065
kaikkien	0.078505	0.152140	0.073635
tällä	0.078228	0.289421	0.211193
itse	0.078227	0.437846	0.359619
walittiin	0.077894	0.116645	0.038752
rooi	0.077869	0.088838	0.010970
pitäisi	0.077818	0.207857	0.130039
kirj	0.077433	0.147961	0.070528
muuten	0.077306	0.238347	0.161041
puolelta	0.076909	0.185518	0.108609
jäsenten	0.076659	0.109939	0.033280
tähän	0.075769	0.443418	0.367649
sellaisia	0.075735	0.136508	0.060773
työmiehet	0.075692	0.107978	0.032287
edelleen	0.075621	0.161374	0.085753
samoin	0.075305	0.253463	0.178157
työstä	0.074712	0.099002	0.024289
niiden	0.074542	0.373874	0.299332
niistä	0.074489	0.307890	0.233402
edustajat	0.074275	0.094255	0.019980
kertaa	0.074266	0.223025	0.148758
sosialistit	0.073421	0.078056	0.004635
liitto	0.073305	0.087600	0.014295
johon	0.072975	0.309232	0.236257
työhön	0.072648	0.123146	0.050498
perusteella	0.072492	0.093585	0.021093
tässä	0.072230	0.485980	0.413749
tupakasta	0.072040	0.075373	0.003333
kokouksen	0.072018	0.153997	0.081979
jälkeen	0.071681	0.316816	0.245134
olemme	0.071594	0.244434	0.172841
viipurilaista	0.071436	0.071556	0.000120
eikä	0.071144	0.439755	0.368611
emme	0.071144	0.190832	0.119688
tri	0.071114	0.106895	0.035781
woi	0.070896	0.250728	0.179832
laatikko	0.070541	0.082905	0.012365
lakko	0.070499	0.074548	0.004049
jolla	0.070363	0.341940	0.271577
toiminta	0.070243	0.092450	0.022207
matkustajajuna	0.069986	0.088168	0.018182
jäi	0.069909	0.145949	0.076040
olemaan	0.069775	0.233446	0.163671
köyhälistö	0.069750	0.070524	0.000774
miehet	0.069338	0.165450	0.096112
yli	0.069165	0.295406	0.226241
työnantajat	0.069101	0.075631	0.006530
heitä	0.068834	0.195269	0.126435
halvimmalla	0.068082	0.089303	0.021221
ennen	0.067920	0.765289	0.697369
lisäksi	0.067913	0.172982	0.105069
annank	0.067836	0.075425	0.007589
sellainen	0.067124	0.141409	0.074285
tekstin	0.067051	0.102922	0.035872
kokoukseen	0.066925	0.128253	0.061328
saapunut	0.066623	0.184280	0.117658
yhd	0.066604	0.076096	0.009491
sellaista	0.066573	0.131916	0.065343
kuitenkaan	0.066425	0.177574	0.111148
katu	0.066382	0.086672	0.020290
ornat	0.066311	0.098847	0.032536
työntekijäin	0.066124	0.073413	0.007289
enää	0.066006	0.249490	0.183484
edellä	0.066003	0.159311	0.093307
oman	0.066000	0.187737	0.121737
oikeus	0.065844	0.154771	0.088927
osa	0.065268	0.249078	0.183809
kaikki	0.065181	0.673149	0.607969
asia	0.065025	0.274512	0.209487
tämän	0.064901	1.017462	0.952561
työnantajain	0.064731	0.071040	0.006308
sosialistien	0.064718	0.067016	0.002298
aseman	0.064627	0.115304	0.050677
tulisi	0.064564	0.257745	0.193181
lain	0.064288	0.146723	0.082434
poliisin	0.064086	0.084144	0.020058
roarten	0.064039	0.076096	0.012057
tapauksessa	0.063858	0.140635	0.076777
työmiesten	0.063605	0.085743	0.022138
jofa	0.063471	0.107204	0.043734
hinnat	0.063451	0.193876	0.130425
asiat	0.063170	0.134186	0.071016
heille	0.063157	0.178760	0.115603
saapukaa	0.062967	0.065262	0.002295
saaneet	0.062774	0.173911	0.111136
