Word,RelativeFreq,SocialistFreq,CorpusFreq
niinettä,87.717249,0.032655,0.000372
seon,70.488951,0.050060,0.000710
hgin,57.964449,0.035293,0.000609
hänon,48.714365,0.022931,0.000471
sahanasettajain,42.159287,0.011254,0.000267
sitämieltä,37.061518,0.010789,0.000291
silloinkun,36.273252,0.009453,0.000261
onniin,34.579998,0.014983,0.000433
vent,32.184844,0.008721,0.000271
oliat,31.377689,0.007617,0.000243
ensisunnuntaina,30.515064,0.007443,0.000244
aleksk,28.379978,0.021478,0.000757
jalasten,26.910877,0.008128,0.000302
yhdistymis,24.825992,0.012358,0.000498
etteihän,24.278066,0.008535,0.000352
perheilmoitukset,24.038565,0.008686,0.000361
työmieslehden,23.890914,0.010324,0.000432
tamä,23.047023,0.008593,0.000373
jakun,22.845311,0.012056,0.000528
sirkusk,21.289832,0.084951,0.003990
niinpaljon,20.744031,0.016296,0.000786
josa,19.508853,0.009778,0.000501
pelti,19.228464,0.040254,0.002093
vaski,18.370618,0.015553,0.000847
neljännesv,17.787134,0.008547,0.000481
tälläkertaa,17.475161,0.011103,0.000635
puoliv,17.373402,0.025219,0.001452
uudenmk,17.287451,0.011312,0.000654
canthink,17.095291,0.014542,0.000851
hänei,17.057219,0.009325,0.000547
sirkuskatu,15.565773,0.055381,0.003558
janiin,15.430456,0.010301,0.000668
senjohdosta,15.417453,0.011091,0.000719
tamän,15.197459,0.009813,0.000646
jokapäivä,15.041141,0.015704,0.001044
sairaantarkastajat,14.915275,0.007931,0.000532
bulevardin,14.697275,0.022071,0.001502
tilaussetelin,14.648279,0.011103,0.000758
lauantainumeroa,14.626118,0.008779,0.000600
herättäjiä,14.566765,0.012207,0.000838
pysyvistä,14.044551,0.033201,0.002364
hallikatu,14.013480,0.016970,0.001211
kokov,13.815374,0.015681,0.001135
alppik,13.799276,0.009395,0.000681
rahastonh,13.469187,0.036524,0.002712
imukkeen,13.318431,0.010371,0.000779
tämänkuun,13.190327,0.007431,0.000563
liittoh,12.803436,0.010080,0.000787
löyhälistön,12.662316,0.007455,0.000589
hagnäisten,12.527591,0.008082,0.000645
kihla,12.407603,0.041288,0.003328
simonk,12.267995,0.012625,0.001029
sosialidemokraatin,12.257575,0.018725,0.001528
itäsuomen,12.160563,0.008349,0.000687
hautausapurengas,12.071231,0.011602,0.000961
kuolinilmoitukset,12.065712,0.018980,0.001573
viipurilaista,12.023076,0.073146,0.006084
tähänasti,11.754026,0.014809,0.001260
vyök,11.745060,0.011370,0.000968
toimittajain,11.390833,0.009755,0.000856
eedvard,11.385187,0.008105,0.000712
kunnallistoimikunnan,10.984971,0.008895,0.000810
nuortamiestä,10.900022,0.021037,0.001930
perämiehenk,10.762357,0.013380,0.001243
myhrberg,10.739480,0.008814,0.000821
yrjönkadun,10.732619,0.011335,0.001056
kastrenink,10.600844,0.007803,0.000736
arkipäivän,10.426887,0.013287,0.001274
mita,10.337904,0.007931,0.000767
uomen,10.327016,0.019003,0.001840
jousi,10.296111,0.019178,0.001863
hienosta,10.271798,0.092677,0.009022
hautausapurenkaan,10.179832,0.017807,0.001749
pormariston,10.162573,0.010429,0.001026
simonkatu,10.103945,0.016947,0.001677
siltasaarenkatu,9.984425,0.042392,0.004246
kokoontumis,9.953352,0.010231,0.001028
syntymä,9.915635,0.032202,0.003248
porroarit,9.907285,0.015750,0.001590
kullattuja,9.829128,0.008152,0.000829
työläisillä,9.814089,0.009546,0.000973
linja,9.754931,0.240280,0.024632
porwaristo,9.247202,0.009000,0.000973
porroarien,9.192689,0.010661,0.001160
lesche,9.127604,0.010696,0.001172
punavuorenk,9.080565,0.010929,0.001204
työläisistä,9.073621,0.008361,0.000921
työväestölle,8.986331,0.015843,0.001763
työläisiä,8.967178,0.063712,0.007105
porwariston,8.923519,0.007699,0.000863
pormaristo,8.832106,0.009836,0.001114
puoluelehtien,8.804848,0.007850,0.000892
piharakennus,8.801076,0.016657,0.001893
kapitalistien,8.760697,0.026056,0.002974
työläisille,8.694368,0.029727,0.003419
muurareille,8.691603,0.008384,0.000965
