Word,RelativeFreq,SocialistFreq,CorpusFreq
mestarin,1.970204,0.010512,0.005336
selmille,1.969516,0.031091,0.015786
wangittu,1.969240,0.013135,0.006670
boman,1.968808,0.009753,0.004954
miestä,1.968103,0.242129,0.123026
tuomitaan,1.967654,0.008169,0.004152
tehbä,1.967504,0.039304,0.019977
lomaa,1.967375,0.011148,0.005667
jostain,1.967166,0.014228,0.007233
kokoonnutaan,1.967113,0.010479,0.005327
liitto,1.966840,0.088908,0.045204
teette,1.966692,0.012041,0.006123
tosiaankin,1.966612,0.017956,0.009130
niskoille,1.966605,0.008392,0.004267
seisomaan,1.966567,0.021047,0.010702
tehkää,1.965305,0.020467,0.010414
esittäneet,1.965298,0.009620,0.004895
airoon,1.964867,0.025399,0.012927
käsittely,1.964595,0.019752,0.010054
tiebä,1.964162,0.008325,0.004238
täsmälleen,1.964120,0.021147,0.010767
wieläpä,1.963891,0.023591,0.012013
wähemmän,1.963885,0.020734,0.010558
lajitellusta,1.963609,0.008068,0.004109
felä,1.963311,0.033635,0.017132
yhtään,1.961585,0.060250,0.030715
mallaa,1.961333,0.008481,0.004324
maikka,1.961276,0.157294,0.080200
todellisuudessa,1.959871,0.028513,0.014548
muka,1.959129,0.109386,0.055834
politiikka,1.958831,0.009519,0.004860
menetellyt,1.958801,0.008883,0.004535
liikaa,1.958597,0.011818,0.006034
kokoukselle,1.958564,0.023346,0.011920
tulimat,1.957632,0.025053,0.012798
ottimat,1.957352,0.008280,0.004230
pitäneet,1.957189,0.032352,0.016530
mahdollisimman,1.957167,0.073965,0.037792
tahtoa,1.957109,0.028591,0.014609
pöytiä,1.956867,0.014842,0.007585
jotakuinkin,1.956843,0.011985,0.006125
esillä,1.956594,0.069982,0.035767
makuutti,1.956145,0.007600,0.003885
talonpoikia,1.954843,0.007801,0.003990
toiminta,1.954766,0.090939,0.046522
salin,1.954684,0.031916,0.016328
painattaa,1.954517,0.010155,0.005196
saaman,1.954149,0.012220,0.006253
kansan,1.954124,0.435814,0.223023
tekoon,1.953495,0.016271,0.008329
ette,1.953154,0.070796,0.036247
saisiwat,1.953058,0.012833,0.006571
taloudellisesti,1.952650,0.009787,0.005012
katsomat,1.951669,0.008347,0.004277
omatkin,1.951313,0.018703,0.009585
tapaturman,1.950797,0.014664,0.007517
noitten,1.950652,0.009229,0.004731
tuomitsi,1.950413,0.028245,0.014481
milä,1.950388,0.043846,0.022481
isät,1.949695,0.009039,0.004636
kokouksessaan,1.949064,0.020623,0.010581
täytyisi,1.948332,0.016795,0.008620
suutari,1.948248,0.042239,0.021680
saawat,1.948120,0.036626,0.018801
sotamäen,1.948007,0.007644,0.003924
työnjohtaja,1.947334,0.024696,0.012682
waliolunta,1.947034,0.008783,0.004511
käsineitä,1.945815,0.011472,0.005896
kyllähän,1.945595,0.012767,0.006562
turhaa,1.945189,0.024462,0.012576
lakien,1.945176,0.028156,0.014475
noiden,1.944791,0.030611,0.015740
rumenneet,1.944308,0.009541,0.004907
sopinut,1.944191,0.008961,0.004609
lyöty,1.943738,0.008057,0.004145
luulisi,1.943706,0.042674,0.021955
allaa,1.943138,0.014887,0.007661
maanomistaja,1.943019,0.007399,0.003808
muutamille,1.942828,0.010311,0.005307
kokouksissa,1.942688,0.035733,0.018394
ionia,1.942646,0.013470,0.006934
läikkien,1.942442,0.007946,0.004091
asemassa,1.942243,0.040710,0.020960
aarnio,1.941914,0.018436,0.009494
wapaa,1.941621,0.023848,0.012282
päätösten,1.941296,0.014586,0.007513
epäkohdat,1.940999,0.014586,0.007514
ilmoitusten,1.940596,0.012075,0.006222
tilaajia,1.939100,0.013592,0.007010
taos,1.938773,0.014362,0.007408
kirjelmä,1.938569,0.040409,0.020845
moineet,1.938427,0.011070,0.005711
pitiwät,1.938183,0.014764,0.007617
syyn,1.937826,0.019005,0.009807
kysyä,1.937805,0.021159,0.010919
vöitä,1.937781,0.012845,0.006629
torppari,1.937576,0.070227,0.036245
rauta,1.937550,0.036280,0.018725
olemansa,1.934997,0.057182,0.029551
eduskunta,1.934587,0.096285,0.049770
tuitentin,1.934574,0.014931,0.007718
puolueensa,1.934344,0.014630,0.007563
alkoimat,1.933820,0.008537,0.004415
moitto,1.933456,0.010858,0.005616
saapua,1.932647,0.046201,0.023905
woisiwat,1.932449,0.017465,0.009038
asiamme,1.932389,0.008995,0.004655
huoneuston,1.932369,0.010345,0.005353
rumetaan,1.931977,0.009084,0.004702
huonolla,1.931961,0.010356,0.005360
ehta,1.931345,0.023692,0.012267
koolle,1.931029,0.009932,0.005143
lausuttiin,1.930920,0.040286,0.020864
jonlun,1.930383,0.010981,0.005689
saamat,1.929363,0.125567,0.065082
haapaniemen,1.928178,0.008035,0.004167
heiltä,1.928156,0.035565,0.018445
julkisuuteen,1.927768,0.016449,0.008533
vaatteita,1.927617,0.027363,0.014195
eiköhän,1.927586,0.030990,0.016077
sitte,1.926965,0.303986,0.157754
rikkomisesta,1.926918,0.007533,0.003909
woimaan,1.926458,0.016259,0.008440
torpassa,1.926285,0.023870,0.012392
jotla,1.926013,0.069546,0.036109
yhtämittaa,1.925784,0.007365,0.003825
vastustamaan,1.925384,0.007466,0.003878
loslee,1.925191,0.008158,0.004237
mähintäin,1.924839,0.008883,0.004615
riittämän,1.924584,0.012086,0.006280
sisäänpääsy,1.923548,0.031470,0.016360
herroille,1.923305,0.029986,0.015591
tekemällä,1.923144,0.010122,0.005263
halvoilla,1.922956,0.009999,0.005200
ryynejä,1.922908,0.009832,0.005113
silmälasia,1.922773,0.011372,0.005914
menettelen,1.922057,0.009452,0.004918
jäiwät,1.921848,0.008950,0.004657
oleroa,1.921549,0.013313,0.006928
metää,1.921490,0.008135,0.004234
vaatteet,1.921263,0.009140,0.004757
henkisesti,1.921215,0.010099,0.005257
tosiaan,1.921001,0.022263,0.011589
uhkasi,1.920912,0.011014,0.005734
varaa,1.920554,0.007354,0.003829
amerikkaan,1.920251,0.009798,0.005103
mustosen,1.919924,0.008135,0.004237
synnytti,1.919701,0.011662,0.006075
osasto,1.919464,0.131147,0.068325
läwi,1.919415,0.015389,0.008018
pitemmälle,1.918687,0.018581,0.009684
uudistusten,1.918102,0.009910,0.005166
lykättiin,1.917809,0.028792,0.015013
selmästi,1.917772,0.016114,0.008403
tansan,1.917771,0.007801,0.004067
näytetään,1.917682,0.009709,0.005063
lippuja,1.917187,0.030242,0.015774
insinöörin,1.916853,0.007566,0.003947
moisia,1.916796,0.010780,0.005624
perustuslain,1.916702,0.023614,0.012320
pohj,1.916375,0.030856,0.016101
rikos,1.914944,0.015523,0.008106
seuraamissa,1.914252,0.010869,0.005678
liitteen,1.913825,0.024116,0.012601
tilauksia,1.913658,0.103337,0.054000
mahdollisuus,1.913563,0.020366,0.010643
parempia,1.913059,0.022799,0.011918
oliroat,1.912949,0.105268,0.055029
tekonsa,1.912843,0.010847,0.005671
woineet,1.912778,0.013793,0.007211
sukkia,1.912169,0.025087,0.013119
ryhdyttäwä,1.911959,0.009843,0.005148
ottein,1.911949,0.009519,0.004979
aitona,1.911247,0.008492,0.004443
tekemää,1.911095,0.010769,0.005635
rikoksen,1.910858,0.013057,0.006833
leslen,1.910662,0.007778,0.004071
syytteeseen,1.910566,0.023558,0.012330
ilmottanut,1.909403,0.013637,0.007142
johtuu,1.909294,0.047149,0.024695
olosuhteet,1.909042,0.017141,0.008979
lause,1.907770,0.010903,0.005715
ilmotettu,1.907031,0.009229,0.004839
asettamat,1.906711,0.008001,0.004196
maati,1.906511,0.012655,0.006638
uutisessa,1.906138,0.007923,0.004157
ilmoitusta,1.905443,0.013458,0.007063
kanne,1.905280,0.012499,0.006560
maksamat,1.904741,0.014429,0.007575
jäsen,1.904582,0.095593,0.050191
huonoon,1.903772,0.008961,0.004707
ilmoita,1.903730,0.007611,0.003998
kieltolaki,1.903656,0.024484,0.012862
uskaltaa,1.903632,0.010200,0.005358
lakiin,1.902668,0.010925,0.005742
taloudellista,1.902077,0.019864,0.010443
tuslin,1.901892,0.009419,0.004952
jäimät,1.901520,0.007321,0.003850
esittämät,1.901516,0.012409,0.006526
eroon,1.900884,0.007588,0.003992
roain,1.900705,0.030878,0.016246
tuhannet,1.900586,0.016840,0.008860
toimikunnan,1.900551,0.049191,0.025883
kuljetetaan,1.900113,0.009195,0.004839
korwausta,1.899827,0.007432,0.003912
jokaiselta,1.899613,0.011249,0.005922
sairaalan,1.899462,0.021705,0.011427
kuuluvaa,1.898261,0.037842,0.019935
liinni,1.898029,0.007722,0.004069
edellämainitut,1.896757,0.007432,0.003918
siiä,1.896712,0.007879,0.004154
sopivia,1.895691,0.028334,0.014947
ansiota,1.895645,0.009106,0.004804
woimat,1.895349,0.013637,0.007195
pumpulikankaita,1.894955,0.007845,0.004140
malita,1.894522,0.008102,0.004276
jäsenilleen,1.894253,0.007432,0.003924
ensikerran,1.893750,0.007912,0.004178
hylättiin,1.893498,0.019339,0.010214
oroat,1.892942,0.305950,0.161627
riitaa,1.892443,0.009329,0.004930
joto,1.891910,0.033401,0.017654
taloudellisten,1.891445,0.009709,0.005133
tappelu,1.891258,0.012655,0.006691
toveri,1.891247,0.011182,0.005912
juttu,1.891005,0.097144,0.051372
valmiita,1.890371,0.045687,0.024168
arpajaisten,1.890041,0.019016,0.010061
laitetaan,1.889504,0.014295,0.007566
huutaen,1.888802,0.007700,0.004077
tosia,1.888657,0.013414,0.007102
sisäänkäytävä,1.888546,0.007912,0.004190
menemän,1.888114,0.009720,0.005148
tiebon,1.887963,0.007611,0.004031
aijotut,1.887797,0.011896,0.006302
ofottaa,1.887543,0.009608,0.005090
äänten,1.886935,0.011896,0.006304
hankkimaan,1.886884,0.028245,0.014969
äänestyksessä,1.886770,0.012588,0.006672
sekään,1.886536,0.011439,0.006063
puuhaamaan,1.886499,0.007957,0.004218
hyvinkään,1.886469,0.017398,0.009222
talia,1.886023,0.051658,0.027390
kansalaisille,1.885795,0.013146,0.006971
welwollisuus,1.885171,0.011729,0.006222
eroat,1.885150,0.009285,0.004925
maalimat,1.885100,0.016036,0.008507
kongressin,1.884721,0.011472,0.006087
säännöissä,1.884540,0.015088,0.008006
kolonaan,1.884179,0.031012,0.016459
marian,1.883687,0.015880,0.008430
ennemmin,1.883627,0.038489,0.020434
yksimielisesti,1.883026,0.057338,0.030450
toimimat,1.882652,0.023123,0.012282
puolustaa,1.882499,0.025678,0.013640
rooi,1.882065,0.085783,0.045579
ilmoitti,1.881421,0.098773,0.052499
taupungin,1.881397,0.010713,0.005694
liitossa,1.881372,0.011405,0.006062
nostanut,1.881288,0.017576,0.009343
hieman,1.881108,0.043288,0.023012
woittaa,1.880841,0.008972,0.004770
työskentelee,1.880723,0.015623,0.008307
joutto,1.879963,0.007332,0.003900
yhteistoimintaa,1.879586,0.008314,0.004423
menee,1.879553,0.079255,0.042167
ebelleen,1.879271,0.016572,0.008818
rooisi,1.879240,0.011584,0.006164
teibän,1.879226,0.012499,0.006651
pyytämät,1.878665,0.008916,0.004746
tuosta,1.878642,0.054247,0.028875
venäjällä,1.878088,0.061802,0.032907
yksilön,1.877781,0.007577,0.004035
olleen,1.877048,0.111752,0.059536
merran,1.876774,0.019641,0.010465
prosentin,1.876489,0.020121,0.010723
melua,1.876374,0.011740,0.006257
periaatteessa,1.875877,0.009675,0.005158
maltion,1.874977,0.050497,0.026932
pennia,1.874820,0.045843,0.024452
kehottanut,1.874224,0.009419,0.005025
ryöstö,1.874085,0.008425,0.004496
tahto,1.873290,0.036893,0.019694
tilaaja,1.873125,0.008425,0.004498
kestäviä,1.872896,0.013737,0.007335
loputtua,1.872795,0.043623,0.023293
riihimäeltä,1.872544,0.010657,0.005691
kärsimät,1.872165,0.010311,0.005508
jonkin,1.871828,0.013135,0.007017
nykyisen,1.871471,0.068609,0.036660
kiirettä,1.871379,0.007298,0.003900
jotkut,1.871204,0.039460,0.021088
kanp,1.871072,0.007388,0.003948
naista,1.870996,0.058353,0.031188
ryhtyneet,1.869633,0.021170,0.011323
minkälainen,1.869005,0.010546,0.005642
kuukausikokous,1.868937,0.027386,0.014653
miehille,1.868823,0.051959,0.027803
isossa,1.868790,0.007376,0.003947
johtui,1.868581,0.017029,0.009114
olisiwat,1.868319,0.046413,0.024842
tyydy,1.868214,0.007432,0.003978
toisista,1.868206,0.010155,0.005436
teollisuus,1.867887,0.019273,0.010318
edut,1.867634,0.029271,0.015673
lalsi,1.867333,0.022040,0.011803
sopimus,1.866939,0.031593,0.016922
ihmisiä,1.866369,0.088841,0.047601
asunnot,1.866042,0.009095,0.004874
ehken,1.866041,0.008492,0.004551
huomattuaan,1.865907,0.007588,0.004067
ehdotti,1.865836,0.076008,0.040737
kärsimään,1.865822,0.016817,0.009013
toiminnan,1.865726,0.055039,0.029500
lytättiin,1.865705,0.014362,0.007698
warojen,1.865437,0.011918,0.006389
pitämät,1.865365,0.053677,0.028776
oikeammin,1.865174,0.011137,0.005971
toisia,1.865169,0.043667,0.023412
pakosta,1.864917,0.010278,0.005511
päättäneet,1.864858,0.039639,0.021256
palstoilla,1.864762,0.014820,0.007947
poliisilaitoksen,1.864516,0.014039,0.007529
johtunut,1.864174,0.017632,0.009458
aitonut,1.864060,0.007812,0.004191
perhe,1.863728,0.032463,0.017418
mastaan,1.863340,0.140510,0.075408
tehneensä,1.862996,0.007890,0.004235
jussi,1.862972,0.018000,0.009662
luuluwat,1.862492,0.007644,0.004104
mielestään,1.862115,0.034929,0.018758
allaan,1.861512,0.013012,0.006990
vaatimaan,1.861078,0.008035,0.004317
anotaan,1.861057,0.007979,0.004287
alistua,1.860737,0.008292,0.004456
mallassa,1.860638,0.007934,0.004264
mitäpä,1.860488,0.014083,0.007570
komin,1.860117,0.034929,0.018778
julisti,1.860095,0.019931,0.010715
päiwältä,1.859979,0.014965,0.008046
toimittajan,1.859845,0.012119,0.006516
teon,1.859362,0.015289,0.008222
mielipiteitä,1.858942,0.024473,0.013165
parlamentin,1.858896,0.014987,0.008062
yhdistyksen,1.858885,0.205604,0.110606
jäsenten,1.858317,0.112488,0.060532
syytetty,1.857942,0.016293,0.008769
lienewät,1.857893,0.007499,0.004036
lakia,1.857718,0.044817,0.024125
useasti,1.857391,0.022174,0.011938
junan,1.857315,0.070205,0.037799
asuntoa,1.857306,0.017409,0.009373
luin,1.857257,0.694135,0.373742
puolueella,1.857164,0.009363,0.005041
itseään,1.856520,0.096218,0.051827
julaistaan,1.856505,0.012287,0.006618
wähä,1.856504,0.009965,0.005368
jolo,1.856223,0.025567,0.013773
aalto,1.855968,0.027564,0.014852
tekijät,1.855415,0.012666,0.006827
waan,1.855290,0.334987,0.180558
sattui,1.855139,0.082826,0.044647
toimeenpanema,1.854220,0.007845,0.004231
kirj,1.853696,0.172527,0.093072
kuluttaa,1.853449,0.007310,0.003944
selitetään,1.853356,0.010479,0.005654
yhteentörmäys,1.853298,0.009017,0.004865
selittämään,1.852295,0.008548,0.004615
arvokkaita,1.852222,0.007655,0.004133
nähtämästi,1.851858,0.015601,0.008425
saiwat,1.851564,0.041179,0.022240
liittynyt,1.850299,0.016996,0.009186
päähänsä,1.849969,0.013157,0.007112
syyksi,1.849850,0.016650,0.009001
loimen,1.849708,0.008961,0.004845
käsittämä,1.849623,0.009486,0.005128
tarmolla,1.849432,0.019183,0.010373
jonto,1.849291,0.008894,0.004809
poikanen,1.849140,0.007979,0.004315
tuomita,1.848560,0.012209,0.006604
ahonen,1.848424,0.012532,0.006780
mtan,1.848091,0.012666,0.006854
puheenjohtaja,1.848028,0.148422,0.080314
muodeksi,1.848001,0.011014,0.005960
hinta,1.847826,0.451817,0.244512
huomaamaan,1.847690,0.026984,0.014604
waimon,1.847034,0.008102,0.004386
haapanen,1.846926,0.007934,0.004296
tekiwät,1.846785,0.010278,0.005565
rumeta,1.846484,0.044326,0.024005
hywäksyi,1.846424,0.008403,0.004551
dollaria,1.845962,0.025567,0.013850
wiela,1.845882,0.009218,0.004994
tarwitse,1.845640,0.022040,0.011942
edustajiksi,1.845449,0.008001,0.004336
olisihan,1.845447,0.010256,0.005557
poistamaan,1.845293,0.011606,0.006289
puhumaan,1.844854,0.026984,0.014627
taistelussa,1.844685,0.035655,0.019328
uhkaa,1.844321,0.027631,0.014982
maanant,1.844245,0.024707,0.013397
tultiin,1.844235,0.013715,0.007437
teollisuuden,1.844169,0.028870,0.015655
rumennut,1.843900,0.017096,0.009272
polttaa,1.843623,0.014965,0.008117
kotkasta,1.843540,0.046736,0.025351
walitsi,1.843252,0.009296,0.005043
omatko,1.843222,0.011427,0.006200
suorittamat,1.842906,0.008637,0.004687
välille,1.842895,0.011193,0.006074
synnyttänyt,1.842680,0.011338,0.006153
kymmeniä,1.842232,0.020176,0.010952
