viipurilaista,600723.190605,0.072055,0.000120
ammattijärjestön,530877.489196,0.060139,0.000113
duuman,475189.524003,0.092357,0.000194
sosialidemokratia,332153.436003,0.037996,0.000114
siltasaarenkatu,303099.485735,0.038712,0.000128
viertotie,298002.314504,0.117824,0.000395
duuma,289223.274965,0.030837,0.000107
työläiset,251166.965892,0.120228,0.000479
työläisen,212138.180358,0.026388,0.000124
karttakaa,210196.390857,0.041320,0.000197
osuuskunta,207204.734304,0.031757,0.000153
näinollen,187341.971102,0.021223,0.000113
työläistä,174904.162124,0.026030,0.000149
kapitalistisen,170411.370268,0.020251,0.000119
puoliv,167930.634338,0.025365,0.000151
hgin,166605.479315,0.034416,0.000207
työläisiä,151063.701123,0.062747,0.000415
edustajakokous,142239.553581,0.015955,0.000112
pietarink,137697.960998,0.016058,0.000117
osuuskunnan,129594.716270,0.049656,0.000383
siltasaarenk,115872.732981,0.023422,0.000202
sirola,111333.887089,0.033138,0.000298
köyhälistölle,110877.555601,0.015393,0.000139
köyhälistön,110670.082715,0.147740,0.001335
kapitalismin,110509.191629,0.018410,0.000167
pormarien,108357.065161,0.022143,0.000204
porwarien,99344.735625,0.016109,0.000162
työläisille,99296.585989,0.028893,0.000291
simonkatu,98889.656938,0.016364,0.000165
liittykää,97207.159303,0.022348,0.000230
puolueemme,96472.020847,0.055179,0.000572
heidan,93002.785034,0.010432,0.000112
kuolinilmoitukset,92889.469842,0.017847,0.000192
puhelin,92428.276910,0.378377,0.004094
niinettä,91044.504467,0.031144,0.000342
köyhälistö,90967.932133,0.070418,0.000774
saap,90644.742284,0.237182,0.002617
työläinen,89747.359968,0.033291,0.000371
kirjeenvaihtoon,88253.868315,0.009410,0.000107
sos,87596.238893,0.130558,0.001490
kyseessä,87529.882520,0.020609,0.000235
perttilä,85605.711825,0.020251,0.000237
pja,83712.574529,0.059781,0.000714
työmieslehden,83524.389022,0.011967,0.000143
kapitalismi,81589.388556,0.010330,0.000127
sitämieltä,80182.674960,0.010330,0.000129
taantumus,78976.769334,0.013859,0.000175
janiin,78093.162084,0.010841,0.000139
pomo,76982.314481,0.021887,0.000284
työsopimuksen,74330.587226,0.011557,0.000155
bulevardin,71982.516699,0.025263,0.000351
hagnäisten,71480.151728,0.008336,0.000117
koskimies,69525.650362,0.011660,0.000168
bem,68853.078896,0.016364,0.000238
näytöskappale,68620.331378,0.019586,0.000285
neljännesv,68616.818331,0.007773,0.000113
kapitalistien,68402.847419,0.026285,0.000384
silloinkun,67423.762750,0.010483,0.000155
raatajat,66568.632100,0.012938,0.000194
torpalla,66305.514977,0.016569,0.000250
sosialistin,66108.177135,0.010279,0.000155
amustusta,65779.280731,0.013296,0.000202
porwarit,65747.114824,0.029865,0.000454
awustusta,65152.811391,0.010637,0.000163
juniin,63494.316243,0.053594,0.000844
heikinkatu,63262.508251,0.016160,0.000255
pysyvistä,62967.439137,0.036155,0.000574
puoluekokouksen,62181.097854,0.016160,0.000260
porr,62042.523469,0.014677,0.000237
eduskunnalle,61169.929673,0.037229,0.000609
kapitalisti,60873.707253,0.007978,0.000131
