Word,RelativeFreq,SocialistFreq,CorpusFreq
viipurilaista,565903.505084,0.067878,0.000120
ammattijärjestön,551744.620474,0.062503,0.000113
duuman,510169.143070,0.099155,0.000194
sosialidemokratia,331591.659746,0.037932,0.000114
viertotie,288590.935367,0.114103,0.000395
siltasaarenkatu,283363.683088,0.036191,0.000128
työläiset,257942.347867,0.123471,0.000479
duuma,241501.241281,0.025749,0.000107
osuuskunta,203738.621740,0.031226,0.000153
karttakaa,197126.598672,0.038751,0.000197
työläisen,190128.213812,0.023650,0.000124
hgin,169746.271048,0.035065,0.000207
kapitalistisen,169720.795790,0.020169,0.000119
puoliv,167760.188658,0.025339,0.000151
työläistä,159257.101755,0.023701,0.000149
näinollen,155898.357136,0.017661,0.000113
osuuskunnan,142817.433862,0.054722,0.000383
työläisiä,137782.105358,0.057231,0.000415
edustajakokous,130517.057666,0.014640,0.000112
pietarink,129934.663869,0.015152,0.000117
kapitalismin,124754.836053,0.020783,0.000167
köyhälistölle,117257.254773,0.016278,0.000139
köyhälistön,114538.995544,0.152905,0.001335
pormarien,113225.234049,0.023138,0.000204
siltasaarenk,111936.957049,0.022626,0.000202
sirola,108005.896222,0.032147,0.000298
porwarien,104495.539679,0.016944,0.000162
työläisille,103442.414732,0.030100,0.000291
puolueemme,100596.228220,0.057538,0.000572
simonkatu,98679.520368,0.016330,0.000165
liittykää,97082.009922,0.022319,0.000230
heidan,95834.203182,0.010750,0.000112
kyseessä,95009.753500,0.022370,0.000235
puhelin,93296.279337,0.381930,0.004094
niinettä,92333.024732,0.031584,0.000342
kuolinilmoitukset,91117.672620,0.017507,0.000192
saap,90853.056021,0.237727,0.002617
köyhälistö,90199.516070,0.069823,0.000774
sos,89195.316131,0.132941,0.001490
työläinen,84731.426805,0.031431,0.000371
taantumus,84598.668209,0.014845,0.000175
pja,84441.693151,0.060302,0.000714
kirjeenvaihtoon,84021.306609,0.008958,0.000107
awustusta,81522.713818,0.013309,0.000163
bem,81198.908646,0.019299,0.000238
neljännesv,79982.635400,0.009061,0.000113
työsopimuksen,77368.190902,0.012030,0.000155
työmieslehden,77176.780237,0.011057,0.000143
bulevardin,76430.520934,0.026824,0.000351
sitämieltä,76289.690809,0.009829,0.000129
torpalla,75385.516695,0.018838,0.000250
kapitalismi,74797.915056,0.009470,0.000127
perttilä,74439.158402,0.017609,0.000237
janiin,74115.434621,0.010289,0.000139
sosialistin,73417.474771,0.011415,0.000155
eduskunnalle,69810.403656,0.042488,0.000609
hagnäisten,69795.984984,0.008139,0.000117
koskimies,69595.396748,0.011671,0.000168
pomo,69317.577952,0.019708,0.000284
porr,68163.764235,0.016125,0.000237
kapitalistien,67006.124749,0.025749,0.000384
juniin,65983.890471,0.055695,0.000844
silloinkun,65516.042508,0.010187,0.000155
pysyvistä,63654.671900,0.036550,0.000574
näytöskappale,63488.161952,0.018121,0.000285
